Hotel Name,Survey ID,,,
,,,,
"Metropolitian, Delhi",MAlW84mj9yDwOLkem3d,https://www.tripadvisor.in/Hotel_Review-g304551-d301910-Reviews-The_Metropolitan_Hotel_Spa_New_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html,,
"Randhava International, Amritsar",5yKJzeg7B9rQAdnMgAy,https://www.tripadvisor.in/Hotel_Review-g303884-d1404822-Reviews-Hotel_Randhawa_International-Amritsar_Punjab.html,,
"The High Walls, Mussoorie",q1ewdN4DbvnOYpoG4YZ,https://www.tripadvisor.in/Hotel_Review-g297689-d8291805-Reviews-The_High_Walls-Mussoorie_Uttarakhand.html,,
"Mile Stone 251, Jaipur",ZzemkaAZxrMmZKOoJQr,https://www.tripadvisor.in/Hotel_Review-g304555-d2407392-Reviews-Milestone_251-Jaipur_Rajasthan.html,,
"Avalon Taj, Agra",MAlW845DGQLWDOgrxzd,https://www.tripadvisor.in/Hotel_Review-g297683-d7196376-Reviews-Hotel_Avalon_Taj_and_Zo_Rooms-Agra_Uttar_Pradesh.html,,
